,class,NOAA_ar_num,event_date,start_time,end_time,peak_time
0,B1.8,12624,1/4/2017,4/1/17 2:34,4/1/17 2:50,1/4/17 2:39
1,B1.3,12626,1/16/2017,1/16/17 1:41,1/16/17 1:48,1/16/17 1:44
2,B1.4,12625,1/16/2017,1/16/17 18:12,1/16/17 18:35,1/16/17 18:23
3,B1.0,12628,1/20/2017,1/20/17 6:33,1/20/17 6:37,1/20/17 6:36
4,B1.4,12628,1/20/2017,1/20/17 6:42,1/20/17 6:44,1/20/17 6:43
5,B1.7,12628,1/20/2017,1/20/17 6:47,1/20/17 7:19,1/20/17 7:15
6,B2.7,12628,1/20/2017,1/20/17 7:51,1/20/17 8:44,1/20/17 8:36
7,B4.3,12628,1/20/2017,1/20/17 9:33,1/20/17 9:42,1/20/17 9:39
8,B5.3,12628,1/20/2017,1/20/17 10:37,1/20/17 10:52,1/20/17 10:46
9,B3.1,12628,1/20/2017,1/20/17 15:09,1/20/17 15:20,1/20/17 15:16
10,B4.1,12627,1/20/2017,1/20/17 17:09,1/20/17 17:16,1/20/17 17:12
11,B2.6,12627,1/20/2017,1/20/17 20:57,1/20/17 21:04,1/20/17 21:00
12,B5.4,12628,1/21/2017,1/21/17 2:10,1/21/17 2:21,1/21/17 2:17
13,B7.1,12628,1/21/2017,1/21/17 2:28,1/21/17 2:36,1/21/17 2:31
14,B7.6,12628,1/21/2017,1/21/17 3:00,1/21/17 3:07,1/21/17 3:05
15,B3.6,12628,1/21/2017,1/21/17 4:02,1/21/17 4:07,1/21/17 4:05
16,C1.2,12628,1/21/2017,1/21/17 6:23,1/21/17 6:36,1/21/17 6:29
17,B8.4,12628,1/21/2017,1/21/17 7:02,1/21/17 7:09,1/21/17 7:05
18,C9.3,12628,1/21/2017,1/21/17 7:14,1/21/17 7:29,1/21/17 7:26
19,B3.5,12628,1/21/2017,1/21/17 8:23,1/21/17 8:29,1/21/17 8:26
20,B3.8,12628,1/21/2017,1/21/17 8:58,1/21/17 9:10,1/21/17 9:06
21,B5.1,12628,1/21/2017,1/21/17 9:12,1/21/17 9:26,1/21/17 9:17
22,C1.0,12628,1/21/2017,1/21/17 9:40,1/21/17 9:52,1/21/17 9:46
23,C1.1,12628,1/21/2017,1/21/17 10:19,1/21/17 10:27,1/21/17 10:23
24,C6.1,12628,1/21/2017,1/21/17 10:59,1/21/17 11:11,1/21/17 11:08
25,C1.8,12628,1/21/2017,1/21/17 13:19,1/21/17 13:30,1/21/17 13:26
26,B5.1,12628,1/21/2017,1/21/17 14:08,1/21/17 14:13,1/21/17 14:11
27,B2.4,12628,1/22/2017,1/22/17 12:23,1/22/17 12:34,1/22/17 12:27
28,B1.9,12629,1/24/2017,1/24/17 16:03,1/24/17 16:11,1/24/17 16:08
29,B5.2,12629,1/24/2017,1/24/17 17:47,1/24/17 18:01,1/24/17 17:55
30,B2.6,12629,1/24/2017,1/24/17 18:39,1/24/17 18:56,1/24/17 18:45
31,B3.2,12629,1/24/2017,1/24/17 23:44,1/24/17 23:54,1/24/17 23:49
32,B4.6,12629,1/25/2017,1/25/17 2:15,1/25/17 2:24,1/25/17 2:20
33,B2.4,12629,1/25/2017,1/25/17 3:54,1/25/17 4:02,1/25/17 3:58
34,B6.5,12629,1/25/2017,1/25/17 15:19,1/25/17 15:36,1/25/17 15:31
35,B4.6,12629,1/25/2017,1/25/17 16:48,1/25/17 16:59,1/25/17 16:53
36,B3.0,12629,1/25/2017,1/25/17 17:55,1/25/17 18:11,1/25/17 18:01
37,B3.8,12629,1/25/2017,1/25/17 19:22,1/25/17 19:42,1/25/17 19:32
38,B2.2,12629,1/25/2017,1/25/17 20:09,1/25/17 20:16,1/25/17 20:12
39,B8.5,12629,1/25/2017,1/25/17 21:22,1/25/17 21:32,1/25/17 21:28
40,B2.2,12629,1/25/2017,1/25/17 22:48,1/25/17 22:56,1/25/17 22:52
41,B2.2,12629,1/26/2017,1/26/17 3:48,1/26/17 3:57,1/26/17 3:52
42,B4.1,12629,1/26/2017,1/26/17 4:06,1/26/17 4:15,1/26/17 4:12
43,B2.1,12629,1/26/2017,1/26/17 4:40,1/26/17 4:46,1/26/17 4:43
44,B2.3,12629,1/26/2017,1/26/17 5:23,1/26/17 5:33,1/26/17 5:28
45,B3.9,12629,1/26/2017,1/26/17 6:08,1/26/17 6:18,1/26/17 6:13
46,B2.0,12629,1/26/2017,1/26/17 12:18,1/26/17 12:23,1/26/17 12:21
47,B2.6,12629,1/26/2017,1/26/17 16:26,1/26/17 16:39,1/26/17 16:33
48,B2.2,12629,1/26/2017,1/26/17 16:48,1/26/17 16:54,1/26/17 16:51
49,B5.4,12627,1/27/2017,1/27/17 10:38,1/27/17 10:52,1/27/17 10:45
50,B2.3,12629,1/27/2017,1/27/17 15:35,1/27/17 15:43,1/27/17 15:39
51,C2.8,12627,1/28/2017,1/28/17 20:56,1/28/17 21:21,1/28/17 21:09
52,B1.2,12631,2/4/2017,4/2/17 5:57,4/2/17 6:04,2/4/17 6:00
53,B1.6,12632,2/4/2017,4/2/17 12:59,4/2/17 13:45,2/4/17 13:12
54,B1.5,12634,2/6/2017,6/2/17 16:16,6/2/17 16:31,2/6/17 16:22
55,B1.1,12635,2/8/2017,8/2/17 23:08,8/2/17 23:18,2/8/17 23:11
56,B2.7,12635,2/9/2017,9/2/17 0:42,9/2/17 0:55,2/9/17 0:50
57,B3.1,12635,2/9/2017,9/2/17 1:35,9/2/17 1:42,2/9/17 1:40
58,C1.1,12635,2/9/2017,9/2/17 1:45,9/2/17 1:56,2/9/17 1:51
59,B6.0,12635,2/9/2017,9/2/17 2:56,9/2/17 3:16,2/9/17 3:09
60,C1.3,12635,2/9/2017,9/2/17 3:20,9/2/17 3:29,2/9/17 3:26
61,B6.1,12635,2/9/2017,9/2/17 5:31,9/2/17 5:49,2/9/17 5:42
